Player,Total Medals,Weighted Medals,Total Hardware,Total Multiplied Medals,Total Multiplied Hardware
Maya,63,120,63,471.01,233.84
Ross,70,141,70,386.22,190.1
Mom,53,111,53,262.3,130.37
Drew,11,18,11,139.03,77.78
