Category,Gold (1st),Gold Score,Silver (2nd),Silver Score,Bronze (3rd),Bronze Score
Total Medals,Ross,81,Maya,68,Mom,61
Weighted Medals,Ross,161,Mom,128,Maya,127
Raw Hardware,Mom,73,Ross,72,Maya,39
Weighted Hardware,Mom,171,Ross,127,Maya,70
Multiplied Medals,Maya,495.68,Ross,432.81,Mom,283.83
Multiplied Raw Hardware,Mom,154.82,Ross,149.19,Maya,138.39
Multiplied Weighted Hardware,Mom,314.29,Maya,270.27,Ross,253.11
