Team,HW Gold,HW Silver,HW Bronze,Total HW,Weighted HW,Final Score,Medals,Multiplied Medals
Ross,63,57,61,181,364,981.55,235,623.54
Maya,64,72,73,209,409,709.61,194,328.82
Drew,19,18,11,48,104,647.58,69,440.95
Mom,32,81,86,199,344,513.05,188,289.22
